DDD,44.26,N/A,N/A,2792159
MMM,108.54,N/A,N/A,2668810
ABB,21.74,N/A,N/A,1132120
ABT,34.98,N/A,N/A,6347902
ABBV,41.39,N/A,N/A,4589412
ANF,45.57,N/A,N/A,1448893
ACAD,18.50,18.15,18.10,2526273
ACN,72.79,N/A,N/A,6396845
ACCO,6.38,N/A,N/A,614344
ACE,89.87,N/A,N/A,1064889
ACHN,8.35,6.40,6.31,1409528
ACT,126.63,N/A,N/A,1406260
ATVI,14.27,14.30,14.23,4117750
ADBE,45.30,46.29,46.20,6324245
ADT,39.99,N/A,N/A,2547370
ADTN,24.89,29.25,22.59,448643
ARO,13.87,N/A,N/A,1613783
AES,12.08,N/A,N/A,5311717
AET,64.18,N/A,N/A,2285878
AFL,58.53,N/A,N/A,2653975
AGCO,50.36,N/A,N/A,1444405
A,43.05,N/A,N/A,4283821
AEM,27.98,N/A,N/A,1915116
APD,91.59,N/A,N/A,3382201
AKAM,42.94,43.05,42.81,1811810
AA,7.84,N/A,N/A,14325758
ALXN,93.73,95.97,95.52,2090698
ALGN,37.32,37.81,36.37,708730
ALKS,28.70,29.54,29.39,1689377
ATI,26.48,N/A,N/A,2061432
AGN,85.33,N/A,N/A,2463612
ANV,6.55,N/A,N/A,3476478
MDRX,13.02,13.29,13.23,1643417
ALL,48.34,N/A,N/A,2751348
ANR,5.26,N/A,N/A,12476427
AMLP,17.87,18.52,17.91,4467461
ALTR,33.14,33.17,33.06,1977461
MO,35.22,N/A,N/A,7723631
AMRN,5.87,5.92,5.89,1783251
AMZN,279.00,282.20,282.01,2878854
AEE,34.44,N/A,N/A,1653288
AMX,21.64,N/A,N/A,9172190
AXL,18.79,N/A,N/A,1531572
AGNC,23.00,22.80,22.72,6469129
ACAS,12.73,12.90,12.83,2972204
MTGE,18.08,18.19,18.09,1230760
AEO,18.3799,N/A,N/A,1915696
AEP,44.98,N/A,N/A,3251892
AXP,75.53,N/A,N/A,5008504
AIG,44.81,N/A,N/A,12678902
ARCP,15.26,14.81,14.74,3384613
AMT,73.43,N/A,N/A,5241740
AMP,81.60,N/A,N/A,1051018
ABC,56.11,N/A,N/A,2845774
AME,42.5595,N/A,N/A,1449675
AMGN,100.13,97.48,97.04,4883243
APC,86.33,N/A,N/A,2780267
ADI,45.49,45.32,45.23,1483320
AU,14.46,N/A,N/A,4422257
BUD,90.45,N/A,N/A,2371316
ANN,33.4625,N/A,N/A,1076196
NLY,12.58,N/A,N/A,11062610
ANH,5.62,N/A,N/A,1151777
AOL,36.59,N/A,N/A,525648
AON,64.87,N/A,N/A,1097436
APA,84.21,N/A,N/A,4721253
AIV,30.31,N/A,N/A,908363
APOL,17.97,18.05,17.92,3384271
AINV,7.83,7.82,7.78,1652508
AAPL,402.90,409.05,409.00,13913892
AMAT,15.05,14.82,14.79,8941915
MT,11.36,N/A,N/A,5304551
ADM,34.11,N/A,N/A,3644264
ARCO,11.8175,N/A,N/A,913088
ARNA,7.76,7.55,7.50,5971076
ARCC,17.21,17.35,17.29,1468360
ARIA,18.15,19.56,19.48,5068063
ARMH,36.50,36.42,36.35,1777215
ARRS,14.345,14.55,14.00,1345828
ARUN,15.45,15.51,15.45,2584745
ASNA,17.53,17.76,17.70,1236018
ASML,79.74,78.50,78.30,1255072
ASBC,15.59,17.32,14.48,824771
AGO,22.22,N/A,N/A,1073422
AZN,47.97,N/A,N/A,2097645
T,35.40,N/A,N/A,19906896
ATML,7.43,7.37,7.34,3392524
ADSK,34.01,33.80,33.69,2967367
ADP,68.85,69.45,69.26,1940053
AVGO,37.82,37.56,37.50,2711962
CAR,29.13,30.53,30.35,3135406
AVP,21.06,N/A,N/A,1933961
AXLL,42.71,N/A,N/A,1186377
BIDU,95.35,92.60,92.45,2595377
BHI,46.40,N/A,N/A,2296926
BBVA,8.48,N/A,N/A,1330579
BSBR,6.16,N/A,N/A,5082792
SAN,6.60,N/A,N/A,4501682
BBD,12.94,N/A,N/A,9063599
BAC,12.95,N/A,N/A,83146296
BK,28.22,N/A,N/A,7807937
BCS,17.33,N/A,N/A,2680127
BKS,16.34,N/A,N/A,2175139
ABX,15.90,N/A,N/A,29423436
BAS,12.18,N/A,N/A,408461
BAX,69.65,N/A,N/A,2053013
BBT,34.08,N/A,N/A,2601180
BZH,17.71,N/A,N/A,511508
BDX,99.43,N/A,N/A,1216858
BBBY,71.32,71.78,71.75,1541971
BLC,14.03,N/A,N/A,1988216
BRK-B,112.65,N/A,N/A,3302312
BBY,27.96,N/A,N/A,12010296
BGCP,5.91,6.14,6.00,2173547
BHP,58.05,N/A,N/A,2222228
BIG,31.88,N/A,N/A,1647992
BBG,20.58,N/A,N/A,675096
BIIB,218.51,217.80,214.88,1514941
BMRN,57.13,59.55,59.21,2856875
BMR,20.35,N/A,N/A,1298697
BX,21.21,N/A,N/A,3386158
BMC,45.25,45.22,45.07,1107763
BA,102.99,N/A,N/A,4091377
BWA,86.60,N/A,N/A,866548
BSX,9.30,N/A,N/A,21848336
BYD,11.42,N/A,N/A,815044
BP,41.96,N/A,N/A,5910418
BDN,13.59,N/A,N/A,1721283
BRFS,21.71,N/A,N/A,971870
EAT,39.64,N/A,N/A,927216
BMY,45.06,N/A,N/A,10018936
BRCM,33.46,33.20,33.09,6374195
BRCD,5.79,5.81,5.76,6847993
BKD,26.56,N/A,N/A,721961
BAM,36.13,N/A,N/A,725082
BPO,16.76,N/A,N/A,822247
BVN,15.14,N/A,N/A,1236488
BG,70.77,N/A,N/A,586681
CA,28.72,28.24,28.15,3573425
CVC,17.40,N/A,N/A,11535472
COG,71.66,N/A,N/A,2320843
CDNS,14.57,14.63,14.56,1166347
CPN,21.24,N/A,N/A,2956412
CCJ,20.79,N/A,N/A,368324
CAM,61.70,N/A,N/A,2673878
CPB,44.92,N/A,N/A,1086928
CNQ,27.80,N/A,N/A,1428788
COF,63.17,N/A,N/A,2924243
CSE,9.39,N/A,N/A,1684912
CMO,12.12,N/A,N/A,784503
CAH,47.54,N/A,N/A,1974604
CFN,36.97,N/A,N/A,1128381
KMX,46.66,N/A,N/A,1324531
CCL,34.60,N/A,N/A,4359426
CTRX,49.13,47.72,47.56,3664795
CAT,83.06,N/A,N/A,4676582
CBL,21.58,N/A,N/A,862441
CBG,23.49,N/A,N/A,3799052
CBS,48.89,N/A,N/A,5136625
CDW,18.65,18.42,18.36,394118
CE,45.27,N/A,N/A,820979
CELG,119.10,119.32,118.13,2317749
CLDX,16.05,16.50,16.24,2725559
CX,10.65,N/A,N/A,11679700
CVE,28.57,N/A,N/A,582687
CNP,23.71,N/A,N/A,2749469
CEF,13.70,N/A,N/A,1284846
CENX,9.36,9.60,9.51,832902
CTL,35.32,N/A,N/A,2583345
CERN,48.50,48.81,48.72,1547944
CF,173.22,N/A,N/A,1570982
CHRW,56.52,56.59,56.48,815420
CSG,9.65,N/A,N/A,2053882
SCHW,21.33,N/A,N/A,9383008
CHKP,49.77,50.35,50.15,1010904
LNG,27.80,N/A,N/A,5728210
CHK,20.46,N/A,N/A,7413340
CVX,118.17,N/A,N/A,5053222
CBI,60.16,N/A,N/A,808928
CHS,17.10,N/A,N/A,2887836
CB,84.97,N/A,N/A,922818
CIEN,19.51,19.48,19.38,1945698
CI,73.17,N/A,N/A,1753744
CRUS,17.56,17.77,17.73,1469757
