Date,Open,High,Low,Close,Volume,Adj Close
2013-06-28,44.70,45.10,43.77,43.90,7885400,43.90
2013-06-27,44.79,44.96,44.26,44.66,2603100,44.66
2013-06-26,45.14,45.56,43.89,44.05,3861100,44.05
2013-06-25,43.33,44.38,43.26,44.36,3559400,44.36
2013-06-24,42.46,43.23,41.05,42.70,4467000,42.70
2013-06-21,44.23,44.64,41.51,43.50,6202600,43.50
2013-06-20,45.40,45.98,43.61,43.95,6240100,43.95
2013-06-19,47.67,47.85,46.23,46.51,3044400,46.51
2013-06-18,48.79,48.87,47.19,47.78,3253900,47.78
2013-06-17,47.99,48.80,47.56,48.21,3791000,48.21
2013-06-14,46.80,48.70,46.80,47.15,3698200,47.15
2013-06-13,45.50,47.03,44.27,46.56,3003500,46.56
2013-06-12,47.21,47.88,45.23,45.57,3658100,45.57
2013-06-11,46.41,47.44,45.23,46.42,3809300,46.42
2013-06-10,45.88,47.36,45.57,47.11,4385100,47.11
2013-06-07,46.79,46.88,44.92,45.23,4081600,45.23
2013-06-06,43.93,45.92,43.56,45.87,4226600,45.87
2013-06-05,44.49,45.44,43.06,43.42,4196000,43.42
2013-06-04,46.44,47.00,44.30,44.70,4389900,44.70
2013-06-03,48.51,48.94,44.52,45.94,6939200,45.94
2013-05-31,50.05,50.98,48.26,48.52,5450900,48.52
2013-05-30,48.07,50.50,48.00,50.22,6636300,50.22
2013-05-29,46.75,47.78,46.28,47.71,3679400,47.71
2013-05-28,47.90,47.90,46.18,46.93,3872800,46.93
2013-05-24,46.94,46.99,45.21,46.40,2664600,46.40
2013-05-23,44.45,46.82,42.63,46.55,6695200,46.55
2013-05-22,48.97,49.48,45.66,46.54,6094900,46.54
2013-05-21,49.46,49.50,47.35,48.43,3394500,48.43
2013-05-20,47.52,49.10,47.19,48.50,4978100,48.50
2013-05-17,44.99,46.75,44.50,46.66,4892000,46.66
2013-05-16,46.91,48.70,45.18,45.59,6441800,45.59
2013-05-15,48.35,50.11,47.53,47.67,6185300,47.67
2013-05-14,48.80,51.94,46.55,48.86,13442900,48.86
2013-05-13,44.48,47.35,43.85,47.15,8746000,47.15
2013-05-10,40.65,44.00,40.62,43.85,15226700,43.85
2013-05-09,44.41,44.91,42.40,43.00,6302500,43.00
2013-05-08,40.48,43.70,39.55,43.70,16958000,43.70
2013-05-07,43.09,43.40,40.59,42.62,4959600,42.62
2013-05-06,41.49,43.72,40.82,43.17,5432000,43.17
2013-05-03,41.56,42.12,39.84,39.88,3773900,39.88
2013-05-02,38.70,39.93,38.26,39.50,3914800,39.50
2013-05-01,37.53,38.90,36.50,37.67,5069100,37.67
2013-04-30,35.86,38.97,34.35,38.24,9101500,38.24
